id,name,height,weight,base_experience,hp,attack,defense,special_attack,special_defense,speed,type_1,type_2,total_stats
71,victreebel,17,155,221,80,105,65,100,70,70,grass,poison,490
72,tentacool,9,455,67,40,40,35,50,100,70,water,poison,335
73,tentacruel,16,550,180,80,70,65,80,120,100,water,poison,515
74,geodude,4,200,60,40,80,100,30,30,20,rock,ground,300
75,graveler,10,1050,137,55,95,115,45,45,35,rock,ground,390
76,golem,14,3000,223,80,120,130,55,65,45,rock,ground,495
77,ponyta,10,300,82,50,85,55,65,65,90,fire,,410
78,rapidash,17,950,175,65,100,70,80,80,105,fire,,500
79,slowpoke,12,360,63,90,65,65,40,40,15,water,psychic,315
80,slowbro,16,785,172,95,75,110,100,80,30,water,psychic,490
81,magnemite,3,60,65,25,35,70,95,55,45,electric,steel,325
82,magneton,10,600,163,50,60,95,120,70,70,electric,steel,465
83,farfetchd,8,150,132,52,90,55,58,62,60,normal,flying,377
84,doduo,14,392,62,35,85,45,35,35,75,normal,flying,310
85,dodrio,18,852,165,60,110,70,60,60,110,normal,flying,470
86,seel,11,900,65,65,45,55,45,70,45,water,,325
87,dewgong,17,1200,166,90,70,80,70,95,70,water,ice,475
88,grimer,9,300,65,80,80,50,40,50,25,poison,,325
89,muk,12,300,175,105,105,75,65,100,50,poison,,500
90,shellder,3,40,61,30,65,100,45,25,40,water,,305
91,cloyster,15,1325,184,50,95,180,85,45,70,water,ice,525
92,gastly,13,1,62,30,35,30,100,35,80,ghost,poison,310
93,haunter,16,1,142,45,50,45,115,55,95,ghost,poison,405
94,gengar,15,405,225,60,65,60,130,75,110,ghost,poison,500
95,onix,88,2100,77,35,45,160,30,45,70,rock,ground,385
96,drowzee,10,324,66,60,48,45,43,90,42,psychic,,328
97,hypno,16,756,169,85,73,70,73,115,67,psychic,,483
98,krabby,4,65,65,30,105,90,25,25,50,water,,325
99,kingler,13,600,166,55,130,115,50,50,75,water,,475
100,voltorb,5,104,66,40,30,50,55,55,100,electric,,330
101,electrode,12,666,172,60,50,70,80,80,150,electric,,490
102,exeggcute,4,25,65,60,40,80,60,45,40,grass,psychic,325
103,exeggutor,20,1200,186,95,95,85,125,75,55,grass,psychic,530
104,cubone,4,65,64,50,50,95,40,50,35,ground,,320
105,marowak,10,450,149,60,80,110,50,80,45,ground,,425
106,hitmonlee,15,498,159,50,120,53,35,110,87,fighting,,455
107,hitmonchan,14,502,159,50,105,79,35,110,76,fighting,,455
108,lickitung,12,655,77,90,55,75,60,75,30,normal,,385
109,koffing,6,10,68,40,65,95,60,45,35,poison,,340
110,weezing,12,95,172,65,90,120,85,70,60,poison,,490
111,rhyhorn,10,1150,69,80,85,95,30,30,25,ground,rock,345
112,rhydon,19,1200,170,105,130,120,45,45,40,ground,rock,485
113,chansey,11,346,395,250,5,5,35,105,50,normal,,450
114,tangela,10,350,87,65,55,115,100,40,60,grass,,435
115,kangaskhan,22,800,172,105,95,80,40,80,90,normal,,490
116,horsea,4,80,59,30,40,70,70,25,60,water,,295
117,seadra,12,250,154,55,65,95,95,45,85,water,,440
118,goldeen,6,150,64,45,67,60,35,50,63,water,,320
119,seaking,13,390,158,80,92,65,65,80,68,water,,450
120,staryu,8,345,68,30,45,55,70,55,85,water,,340
121,starmie,11,800,182,60,75,85,100,85,115,water,psychic,520
122,mr-mime,13,545,161,40,45,65,100,120,90,psychic,fairy,460
123,scyther,15,560,100,70,110,80,55,80,105,bug,flying,500
124,jynx,14,406,159,65,50,35,115,95,95,ice,psychic,455
125,electabuzz,11,300,172,65,83,57,95,85,105,electric,,490
126,magmar,13,445,173,65,95,57,100,85,93,fire,,495
127,pinsir,15,550,175,65,125,100,55,70,85,bug,,500
128,tauros,14,884,172,75,100,95,40,70,110,normal,,490
129,magikarp,9,100,40,20,10,55,15,20,80,water,,200
130,gyarados,65,2350,189,95,125,79,60,100,81,water,flying,540
131,lapras,25,2200,187,130,85,80,85,95,60,water,ice,535
132,ditto,3,40,101,48,48,48,48,48,48,normal,,288
133,eevee,3,65,65,55,55,50,45,65,55,normal,,325
134,vaporeon,10,290,184,130,65,60,110,95,65,water,,525
135,jolteon,8,245,184,65,65,60,110,95,130,electric,,525
136,flareon,9,250,184,65,130,60,95,110,65,fire,,525
137,porygon,8,365,79,65,60,70,85,75,40,normal,,395
138,omanyte,4,75,71,35,40,100,90,55,35,rock,water,355
139,omastar,10,350,173,70,60,125,115,70,55,rock,water,495
140,kabuto,5,115,71,30,80,90,55,45,55,rock,water,355
141,kabutops,13,405,173,60,115,105,65,70,80,rock,water,495
142,aerodactyl,18,590,180,80,105,65,60,75,130,rock,flying,515
143,snorlax,21,4600,189,160,110,65,65,110,30,normal,,540
144,articuno,17,554,261,90,85,100,95,125,85,ice,flying,580
145,zapdos,16,526,261,90,90,85,125,90,100,electric,flying,580
146,moltres,20,600,261,90,100,90,125,85,90,fire,flying,580
147,dratini,18,33,60,41,64,45,50,50,50,dragon,,300
148,dragonair,40,165,147,61,84,65,70,70,70,dragon,,420
149,dragonite,22,2100,270,91,134,95,100,100,80,dragon,flying,600
150,mewtwo,20,1220,306,106,110,90,154,90,130,psychic,,680
151,mew,4,40,270,100,100,100,100,100,100,psychic,,600
