id,name,generation,height,weight,base_experience,hp,attack,defense,special_attack,special_defense,speed,type_1,type_2,total_stats,height_m,weight_kg,type_combination,overall_rank
71,victreebel,Gen 1,17,155,221,80,105,65,100,70,70,grass,poison,490,1.7,15.5,grass / poison,338
72,tentacool,Gen 1,9,455,67,40,40,35,50,100,70,water,poison,335,0.9,45.5,water / poison,731
73,tentacruel,Gen 1,16,550,180,80,70,65,80,120,100,water,poison,515,1.6,55.0,water / poison,226
74,geodude,Gen 1,4,200,60,40,80,100,30,30,20,rock,ground,300,0.4,20.0,rock / ground,856
75,graveler,Gen 1,10,1050,137,55,95,115,45,45,35,rock,ground,390,1.0,105.0,rock / ground,646
76,golem,Gen 1,14,3000,223,80,120,130,55,65,45,rock,ground,495,1.4,300.0,rock / ground,317
77,ponyta,Gen 1,10,300,82,50,85,55,65,65,90,fire,,410,1.0,30.0,fire,590
78,rapidash,Gen 1,17,950,175,65,100,70,80,80,105,fire,,500,1.7,95.0,fire,278
79,slowpoke,Gen 1,12,360,63,90,65,65,40,40,15,water,psychic,315,1.2,36.0,water / psychic,793
80,slowbro,Gen 1,16,785,172,95,75,110,100,80,30,water,psychic,490,1.6,78.5,water / psychic,338
81,magnemite,Gen 1,3,60,65,25,35,70,95,55,45,electric,steel,325,0.3,6.0,electric / steel,761
82,magneton,Gen 1,10,600,163,50,60,95,120,70,70,electric,steel,465,1.0,60.0,electric / steel,466
83,farfetchd,Gen 1,8,150,132,52,90,55,58,62,60,normal,flying,377,0.8,15.0,normal / flying,666
84,doduo,Gen 1,14,392,62,35,85,45,35,35,75,normal,flying,310,1.4,39.2,normal / flying,804
85,dodrio,Gen 1,18,852,165,60,110,70,60,60,110,normal,flying,470,1.8,85.2,normal / flying,450
86,seel,Gen 1,11,900,65,65,45,55,45,70,45,water,,325,1.1,90.0,water,761
87,dewgong,Gen 1,17,1200,166,90,70,80,70,95,70,water,ice,475,1.7,120.0,water / ice,431
88,grimer,Gen 1,9,300,65,80,80,50,40,50,25,poison,,325,0.9,30.0,poison,761
89,muk,Gen 1,12,300,175,105,105,75,65,100,50,poison,,500,1.2,30.0,poison,278
90,shellder,Gen 1,3,40,61,30,65,100,45,25,40,water,,305,0.3,4.0,water,833
91,cloyster,Gen 1,15,1325,184,50,95,180,85,45,70,water,ice,525,1.5,132.5,water / ice,189
92,gastly,Gen 1,13,1,62,30,35,30,100,35,80,ghost,poison,310,1.3,0.1,ghost / poison,804
93,haunter,Gen 1,16,1,142,45,50,45,115,55,95,ghost,poison,405,1.6,0.1,ghost / poison,605
94,gengar,Gen 1,15,405,225,60,65,60,130,75,110,ghost,poison,500,1.5,40.5,ghost / poison,278
95,onix,Gen 1,88,2100,77,35,45,160,30,45,70,rock,ground,385,8.8,210.0,rock / ground,653
96,drowzee,Gen 1,10,324,66,60,48,45,43,90,42,psychic,,328,1.0,32.4,psychic,759
97,hypno,Gen 1,16,756,169,85,73,70,73,115,67,psychic,,483,1.6,75.6,psychic,396
98,krabby,Gen 1,4,65,65,30,105,90,25,25,50,water,,325,0.4,6.5,water,761
99,kingler,Gen 1,13,600,166,55,130,115,50,50,75,water,,475,1.3,60.0,water,431
100,voltorb,Gen 1,5,104,66,40,30,50,55,55,100,electric,,330,0.5,10.4,electric,741
101,electrode,Gen 1,12,666,172,60,50,70,80,80,150,electric,,490,1.2,66.6,electric,338
102,exeggcute,Gen 1,4,25,65,60,40,80,60,45,40,grass,psychic,325,0.4,2.5,grass / psychic,761
103,exeggutor,Gen 1,20,1200,186,95,95,85,125,75,55,grass,psychic,530,2.0,120.0,grass / psychic,163
104,cubone,Gen 1,4,65,64,50,50,95,40,50,35,ground,,320,0.4,6.5,ground,772
105,marowak,Gen 1,10,450,149,60,80,110,50,80,45,ground,,425,1.0,45.0,ground,553
106,hitmonlee,Gen 1,15,498,159,50,120,53,35,110,87,fighting,,455,1.5,49.8,fighting,494
107,hitmonchan,Gen 1,14,502,159,50,105,79,35,110,76,fighting,,455,1.4,50.2,fighting,494
108,lickitung,Gen 1,12,655,77,90,55,75,60,75,30,normal,,385,1.2,65.5,normal,653
109,koffing,Gen 1,6,10,68,40,65,95,60,45,35,poison,,340,0.6,1.0,poison,719
110,weezing,Gen 1,12,95,172,65,90,120,85,70,60,poison,,490,1.2,9.5,poison,338
111,rhyhorn,Gen 1,10,1150,69,80,85,95,30,30,25,ground,rock,345,1.0,115.0,ground / rock,714
112,rhydon,Gen 1,19,1200,170,105,130,120,45,45,40,ground,rock,485,1.9,120.0,ground / rock,372
113,chansey,Gen 1,11,346,395,250,5,5,35,105,50,normal,,450,1.1,34.6,normal,512
114,tangela,Gen 1,10,350,87,65,55,115,100,40,60,grass,,435,1.0,35.0,grass,538
115,kangaskhan,Gen 1,22,800,172,105,95,80,40,80,90,normal,,490,2.2,80.0,normal,338
116,horsea,Gen 1,4,80,59,30,40,70,70,25,60,water,,295,0.4,8.0,water,882
117,seadra,Gen 1,12,250,154,55,65,95,95,45,85,water,,440,1.2,25.0,water,527
118,goldeen,Gen 1,6,150,64,45,67,60,35,50,63,water,,320,0.6,15.0,water,772
119,seaking,Gen 1,13,390,158,80,92,65,65,80,68,water,,450,1.3,39.0,water,512
120,staryu,Gen 1,8,345,68,30,45,55,70,55,85,water,,340,0.8,34.5,water,719
121,starmie,Gen 1,11,800,182,60,75,85,100,85,115,water,psychic,520,1.1,80.0,water / psychic,214
122,mr-mime,Gen 1,13,545,161,40,45,65,100,120,90,psychic,fairy,460,1.3,54.5,psychic / fairy,477
123,scyther,Gen 1,15,560,100,70,110,80,55,80,105,bug,flying,500,1.5,56.0,bug / flying,278
124,jynx,Gen 1,14,406,159,65,50,35,115,95,95,ice,psychic,455,1.4,40.6,ice / psychic,494
125,electabuzz,Gen 1,11,300,172,65,83,57,95,85,105,electric,,490,1.1,30.0,electric,338
126,magmar,Gen 1,13,445,173,65,95,57,100,85,93,fire,,495,1.3,44.5,fire,317
127,pinsir,Gen 1,15,550,175,65,125,100,55,70,85,bug,,500,1.5,55.0,bug,278
128,tauros,Gen 1,14,884,172,75,100,95,40,70,110,normal,,490,1.4,88.4,normal,338
129,magikarp,Gen 1,9,100,40,20,10,55,15,20,80,water,,200,0.9,10.0,water,1012
130,gyarados,Gen 1,65,2350,189,95,125,79,60,100,81,water,flying,540,6.5,235.0,water / flying,136
131,lapras,Gen 1,25,2200,187,130,85,80,85,95,60,water,ice,535,2.5,220.0,water / ice,146
132,ditto,Gen 1,3,40,101,48,48,48,48,48,48,normal,,288,0.3,4.0,normal,903
133,eevee,Gen 1,3,65,65,55,55,50,45,65,55,normal,,325,0.3,6.5,normal,761
134,vaporeon,Gen 1,10,290,184,130,65,60,110,95,65,water,,525,1.0,29.0,water,189
135,jolteon,Gen 1,8,245,184,65,65,60,110,95,130,electric,,525,0.8,24.5,electric,189
136,flareon,Gen 1,9,250,184,65,130,60,95,110,65,fire,,525,0.9,25.0,fire,189
137,porygon,Gen 1,8,365,79,65,60,70,85,75,40,normal,,395,0.8,36.5,normal,640
138,omanyte,Gen 1,4,75,71,35,40,100,90,55,35,rock,water,355,0.4,7.5,rock / water,691
139,omastar,Gen 1,10,350,173,70,60,125,115,70,55,rock,water,495,1.0,35.0,rock / water,317
140,kabuto,Gen 1,5,115,71,30,80,90,55,45,55,rock,water,355,0.5,11.5,rock / water,691
141,kabutops,Gen 1,13,405,173,60,115,105,65,70,80,rock,water,495,1.3,40.5,rock / water,317
142,aerodactyl,Gen 1,18,590,180,80,105,65,60,75,130,rock,flying,515,1.8,59.0,rock / flying,226
143,snorlax,Gen 1,21,4600,189,160,110,65,65,110,30,normal,,540,2.1,460.0,normal,136
144,articuno,Gen 1,17,554,261,90,85,100,95,125,85,ice,flying,580,1.7,55.4,ice / flying,69
145,zapdos,Gen 1,16,526,261,90,90,85,125,90,100,electric,flying,580,1.6,52.6,electric / flying,69
146,moltres,Gen 1,20,600,261,90,100,90,125,85,90,fire,flying,580,2.0,60.0,fire / flying,69
147,dratini,Gen 1,18,33,60,41,64,45,50,50,50,dragon,,300,1.8,3.3,dragon,856
148,dragonair,Gen 1,40,165,147,61,84,65,70,70,70,dragon,,420,4.0,16.5,dragon,562
149,dragonite,Gen 1,22,2100,270,91,134,95,100,100,80,dragon,flying,600,2.2,210.0,dragon / flying,25
150,mewtwo,Gen 1,20,1220,306,106,110,90,154,90,130,psychic,,680,2.0,122.0,psychic,3
151,mew,Gen 1,4,40,270,100,100,100,100,100,100,psychic,,600,0.4,4.0,psychic,25
152,chikorita,Gen 2,9,64,64,45,49,65,49,65,45,grass,,318,0.9,6.4,grass,787
153,bayleef,Gen 2,12,158,142,60,62,80,63,80,60,grass,,405,1.2,15.8,grass,605
154,meganium,Gen 2,18,1005,236,80,82,100,83,100,80,grass,,525,1.8,100.5,grass,189
155,cyndaquil,Gen 2,5,79,62,39,52,43,60,50,65,fire,,309,0.5,7.9,fire,821
156,quilava,Gen 2,9,190,142,58,64,58,80,65,80,fire,,405,0.9,19.0,fire,605
157,typhlosion,Gen 2,17,795,240,78,84,78,109,85,100,fire,,534,1.7,79.5,fire,157
158,totodile,Gen 2,6,95,63,50,65,64,44,48,43,water,,314,0.6,9.5,water,798
159,croconaw,Gen 2,11,250,142,65,80,80,59,63,58,water,,405,1.1,25.0,water,605
160,feraligatr,Gen 2,23,888,239,85,105,100,79,83,78,water,,530,2.3,88.8,water,163
161,sentret,Gen 2,8,60,43,35,46,34,35,45,20,normal,,215,0.8,6.0,normal,999
162,furret,Gen 2,18,325,145,85,76,64,45,55,90,normal,,415,1.8,32.5,normal,582
163,hoothoot,Gen 2,7,212,52,60,30,30,36,56,50,normal,flying,262,0.7,21.2,normal / flying,953
164,noctowl,Gen 2,16,408,158,100,50,50,86,96,70,normal,flying,452,1.6,40.8,normal / flying,509
165,ledyba,Gen 2,10,108,53,40,20,30,40,80,55,bug,flying,265,1.0,10.8,bug / flying,946
166,ledian,Gen 2,14,356,137,55,35,50,55,110,85,bug,flying,390,1.4,35.6,bug / flying,646
167,spinarak,Gen 2,5,85,50,40,60,40,40,40,30,bug,poison,250,0.5,8.5,bug / poison,967
168,ariados,Gen 2,11,335,140,70,90,70,60,70,40,bug,poison,400,1.1,33.5,bug / poison,633
169,crobat,Gen 2,18,750,241,85,90,80,70,80,130,poison,flying,535,1.8,75.0,poison / flying,146
170,chinchou,Gen 2,5,120,66,75,38,38,56,56,67,water,electric,330,0.5,12.0,water / electric,741
171,lanturn,Gen 2,12,225,161,125,58,58,76,76,67,water,electric,460,1.2,22.5,water / electric,477
172,pichu,Gen 2,3,20,41,20,40,15,35,35,60,electric,,205,0.3,2.0,electric,1007
173,cleffa,Gen 2,3,30,44,50,25,28,45,55,15,fairy,,218,0.3,3.0,fairy,998
174,igglybuff,Gen 2,3,10,42,90,30,15,40,20,15,normal,fairy,210,0.3,1.0,normal / fairy,1001
175,togepi,Gen 2,3,15,49,35,20,65,40,65,20,fairy,,245,0.3,1.5,fairy,976
176,togetic,Gen 2,6,32,142,55,40,85,80,105,40,fairy,flying,405,0.6,3.2,fairy / flying,605
177,natu,Gen 2,2,20,64,40,50,45,70,45,70,psychic,flying,320,0.2,2.0,psychic / flying,772
178,xatu,Gen 2,15,150,165,65,75,70,95,70,95,psychic,flying,470,1.5,15.0,psychic / flying,450
179,mareep,Gen 2,6,78,56,55,40,40,65,45,35,electric,,280,0.6,7.8,electric,913
180,flaaffy,Gen 2,8,133,128,70,55,55,80,60,45,electric,,365,0.8,13.3,electric,676
181,ampharos,Gen 2,14,615,230,90,75,85,115,90,55,electric,,510,1.4,61.5,electric,237
182,bellossom,Gen 2,4,58,221,75,80,95,90,100,50,grass,,490,0.4,5.8,grass,338
183,marill,Gen 2,4,85,88,70,20,50,20,50,40,water,fairy,250,0.4,8.5,water / fairy,967
184,azumarill,Gen 2,8,285,189,100,50,80,60,80,50,water,fairy,420,0.8,28.5,water / fairy,562
185,sudowoodo,Gen 2,12,380,144,70,100,115,30,65,30,rock,,410,1.2,38.0,rock,590
186,politoed,Gen 2,11,339,225,90,75,75,90,100,70,water,,500,1.1,33.9,water,278
187,hoppip,Gen 2,4,5,50,35,35,40,35,55,50,grass,flying,250,0.4,0.5,grass / flying,967
188,skiploom,Gen 2,6,10,119,55,45,50,45,65,80,grass,flying,340,0.6,1.0,grass / flying,719
189,jumpluff,Gen 2,8,30,207,75,55,70,55,95,110,grass,flying,460,0.8,3.0,grass / flying,477
190,aipom,Gen 2,8,115,72,55,70,55,40,55,85,normal,,360,0.8,11.5,normal,684
191,sunkern,Gen 2,3,18,36,30,30,30,30,30,30,grass,,180,0.3,1.8,grass,1023
192,sunflora,Gen 2,8,85,149,75,75,55,105,85,30,grass,,425,0.8,8.5,grass,553
193,yanma,Gen 2,12,380,78,65,65,45,75,45,95,bug,flying,390,1.2,38.0,bug / flying,646
194,wooper,Gen 2,4,85,42,55,45,45,25,25,15,water,ground,210,0.4,8.5,water / ground,1001
195,quagsire,Gen 2,14,750,151,95,85,85,65,65,35,water,ground,430,1.4,75.0,water / ground,544
196,espeon,Gen 2,9,265,184,65,65,60,130,95,110,psychic,,525,0.9,26.5,psychic,189
197,umbreon,Gen 2,10,270,184,95,65,110,60,130,65,dark,,525,1.0,27.0,dark,189
198,murkrow,Gen 2,5,21,81,60,85,42,85,42,91,dark,flying,405,0.5,2.1,dark / flying,605
199,slowking,Gen 2,20,795,172,95,75,80,100,110,30,water,psychic,490,2.0,79.5,water / psychic,338
200,misdreavus,Gen 2,7,10,87,60,60,60,85,85,85,ghost,,435,0.7,1.0,ghost,538
201,unown,Gen 2,5,50,118,48,72,48,72,48,48,psychic,,336,0.5,5.0,psychic,730
202,wobbuffet,Gen 2,13,285,142,190,33,58,33,58,33,psychic,,405,1.3,28.5,psychic,605
203,girafarig,Gen 2,15,415,159,70,80,65,90,65,85,normal,psychic,455,1.5,41.5,normal / psychic,494
204,pineco,Gen 2,6,72,58,50,65,90,35,35,15,bug,,290,0.6,7.2,bug,892
205,forretress,Gen 2,12,1258,163,75,90,140,60,60,40,bug,steel,465,1.2,125.8,bug / steel,466
206,dunsparce,Gen 2,15,140,145,100,70,70,65,65,45,normal,,415,1.5,14.0,normal,582
207,gligar,Gen 2,11,648,86,65,75,105,35,65,85,ground,flying,430,1.1,64.8,ground / flying,544
208,steelix,Gen 2,92,4000,179,75,85,200,55,65,30,steel,ground,510,9.2,400.0,steel / ground,237
209,snubbull,Gen 2,6,78,60,60,80,50,40,40,30,fairy,,300,0.6,7.8,fairy,856
210,granbull,Gen 2,14,487,158,90,120,75,60,60,45,fairy,,450,1.4,48.7,fairy,512
211,qwilfish,Gen 2,5,39,88,65,95,85,55,55,85,water,poison,440,0.5,3.9,water / poison,527
212,scizor,Gen 2,18,1180,175,70,130,100,55,80,65,bug,steel,500,1.8,118.0,bug / steel,278
213,shuckle,Gen 2,6,205,177,20,10,230,10,230,5,bug,rock,505,0.6,20.5,bug / rock,262
214,heracross,Gen 2,15,540,175,80,125,75,40,95,85,bug,fighting,500,1.5,54.0,bug / fighting,278
215,sneasel,Gen 2,9,280,86,55,95,55,35,75,115,dark,ice,430,0.9,28.0,dark / ice,544
216,teddiursa,Gen 2,6,88,66,60,80,50,50,50,40,normal,,330,0.6,8.8,normal,741
217,ursaring,Gen 2,18,1258,175,90,130,75,75,75,55,normal,,500,1.8,125.8,normal,278
218,slugma,Gen 2,7,350,50,40,40,40,70,40,20,fire,,250,0.7,35.0,fire,967
219,magcargo,Gen 2,8,550,151,60,50,120,90,80,30,fire,rock,430,0.8,55.0,fire / rock,544
220,swinub,Gen 2,4,65,50,50,50,40,30,30,50,ice,ground,250,0.4,6.5,ice / ground,967
221,piloswine,Gen 2,11,558,158,100,100,80,60,60,50,ice,ground,450,1.1,55.8,ice / ground,512
222,corsola,Gen 2,6,50,144,65,55,95,65,95,35,water,rock,410,0.6,5.0,water / rock,590
223,remoraid,Gen 2,6,120,60,35,65,35,65,35,65,water,,300,0.6,12.0,water,856
224,octillery,Gen 2,9,285,168,75,105,75,105,75,45,water,,480,0.9,28.5,water,405
225,delibird,Gen 2,9,160,116,45,55,45,65,45,75,ice,flying,330,0.9,16.0,ice / flying,741
226,mantine,Gen 2,21,2200,170,85,40,70,80,140,70,water,flying,485,2.1,220.0,water / flying,372
227,skarmory,Gen 2,17,505,163,65,80,140,40,70,70,steel,flying,465,1.7,50.5,steel / flying,466
228,houndour,Gen 2,6,108,66,45,60,30,80,50,65,dark,fire,330,0.6,10.8,dark / fire,741
229,houndoom,Gen 2,14,350,175,75,90,50,110,80,95,dark,fire,500,1.4,35.0,dark / fire,278
230,kingdra,Gen 2,18,1520,243,75,95,95,95,95,85,water,dragon,540,1.8,152.0,water / dragon,136
231,phanpy,Gen 2,5,335,66,90,60,60,40,40,40,ground,,330,0.5,33.5,ground,741
232,donphan,Gen 2,11,1200,175,90,120,120,60,60,50,ground,,500,1.1,120.0,ground,278
233,porygon2,Gen 2,6,325,180,85,80,90,105,95,60,normal,,515,0.6,32.5,normal,226
234,stantler,Gen 2,14,712,163,73,95,62,85,65,85,normal,,465,1.4,71.2,normal,466
235,smeargle,Gen 2,12,580,88,55,20,35,20,45,75,normal,,250,1.2,58.0,normal,967
236,tyrogue,Gen 2,7,210,42,35,35,35,35,35,35,fighting,,210,0.7,21.0,fighting,1001
237,hitmontop,Gen 2,14,480,159,50,95,95,35,110,70,fighting,,455,1.4,48.0,fighting,494
238,smoochum,Gen 2,4,60,61,45,30,15,85,65,65,ice,psychic,305,0.4,6.0,ice / psychic,833
239,elekid,Gen 2,6,235,72,45,63,37,65,55,95,electric,,360,0.6,23.5,electric,684
240,magby,Gen 2,7,214,73,45,75,37,70,55,83,fire,,365,0.7,21.4,fire,676
241,miltank,Gen 2,12,755,172,95,80,105,40,70,100,normal,,490,1.2,75.5,normal,338
242,blissey,Gen 2,15,468,608,255,10,10,75,135,55,normal,,540,1.5,46.8,normal,136
243,raikou,Gen 2,19,1780,261,90,85,75,115,100,115,electric,,580,1.9,178.0,electric,69
244,entei,Gen 2,21,1980,261,115,115,85,90,75,100,fire,,580,2.1,198.0,fire,69
245,suicune,Gen 2,20,1870,261,100,75,115,90,115,85,water,,580,2.0,187.0,water,69
246,larvitar,Gen 2,6,720,60,50,64,50,45,50,41,rock,ground,300,0.6,72.0,rock / ground,856
247,pupitar,Gen 2,12,1520,144,70,84,70,65,70,51,rock,ground,410,1.2,152.0,rock / ground,590
248,tyranitar,Gen 2,20,2020,270,100,134,110,95,100,61,rock,dark,600,2.0,202.0,rock / dark,25
249,lugia,Gen 2,52,2160,306,106,90,130,90,154,110,psychic,flying,680,5.2,216.0,psychic / flying,3
250,ho-oh,Gen 2,38,1990,306,106,130,90,110,154,90,fire,flying,680,3.8,199.0,fire / flying,3
251,celebi,Gen 2,6,50,270,100,100,100,100,100,100,psychic,grass,600,0.6,5.0,psychic / grass,25
252,treecko,Gen 3,5,50,62,40,45,35,65,55,70,grass,,310,0.5,5.0,grass,804
253,grovyle,Gen 3,9,216,142,50,65,45,85,65,95,grass,,405,0.9,21.6,grass,605
254,sceptile,Gen 3,17,522,239,70,85,65,105,85,120,grass,,530,1.7,52.2,grass,163
255,torchic,Gen 3,4,25,62,45,60,40,70,50,45,fire,,310,0.4,2.5,fire,804
256,combusken,Gen 3,9,195,142,60,85,60,85,60,55,fire,fighting,405,0.9,19.5,fire / fighting,605
257,blaziken,Gen 3,19,520,239,80,120,70,110,70,80,fire,fighting,530,1.9,52.0,fire / fighting,163
258,mudkip,Gen 3,4,76,62,50,70,50,50,50,40,water,,310,0.4,7.6,water,804
259,marshtomp,Gen 3,7,280,142,70,85,70,60,70,50,water,ground,405,0.7,28.0,water / ground,605
260,swampert,Gen 3,15,819,241,100,110,90,85,90,60,water,ground,535,1.5,81.9,water / ground,146
261,poochyena,Gen 3,5,136,56,35,55,35,30,30,35,dark,,220,0.5,13.6,dark,994
262,mightyena,Gen 3,10,370,147,70,90,70,60,60,70,dark,,420,1.0,37.0,dark,562
263,zigzagoon,Gen 3,4,175,56,38,30,41,30,41,60,normal,,240,0.4,17.5,normal,985
264,linoone,Gen 3,5,325,147,78,70,61,50,61,100,normal,,420,0.5,32.5,normal,562
265,wurmple,Gen 3,3,36,56,45,45,35,20,30,20,bug,,195,0.3,3.6,bug,1017
